Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.352096
log(r) Normal with mean -3.07625, variance 0.1
Mean coordination No. 11.06
0.0282747 0.815788 0.623348 0.0315048
0.452234 0.124211 0.296774 0.0486414
0.0458283 0.380531 0.434818 0.0511408
0.128574 0.518821 0.0213917 0.0674389
0.388544 0.553864 0.309104 0.0584352
0.906124 0.0458528 0.615145 0.047298
0.874721 0.766445 0.683474 0.0545071
0.503989 0.984805 0.440086 0.0415216
0.458813 0.700966 0.225491 0.0353454
0.593432 0.579036 0.258869 0.0347474
0.704041 0.938299 0.424063 0.0484133
0.812307 0.755629 0.0546835 0.0377817
0.192844 0.309804 0.355608 0.0554266
0.327413 0.667499 0.441003 0.0352548
0.210909 0.226324 0.424624 0.0498788
0.197274 0.202323 0.632468 0.0445968
0.988332 0.41609 0.820267 0.0401289
0.194879 0.902044 0.0712293 0.0400813
0.738608 0.0308082 0.921655 0.0520114
0.419163 0.896915 0.623475 0.0602696
0.754432 0.745848 0.778551 0.0309783
0.211491 0.540411 0.355591 0.0570153
0.689609 0.275936 0.263129 0.0294161
0.208639 0.552155 0.876022 0.0280724
0.547373 0.778746 0.581934 0.0484115
0.0627729 0.0257367 0.324167 0.0491136
0.607604 0.725711 0.160779 0.0750282
0.569968 0.228081 0.705647 0.040772
0.210267 0.0144328 0.600155 0.0966429
0.61412 0.857395 0.87415 0.0562799
0.931941 0.397415 0.726042 0.038365
0.924597 0.250546 0.730583 0.0276873
0.0601042 0.216139 0.732343 0.0488405
0.0159414 0.4671 0.0765244 0.0682109
0.129858 0.770507 0.025735 0.0528779
0.711085 0.752922 0.539946 0.0865933
0.885405 0.0805169 0.355549 0.0349099
0.675281 0.225599 0.857466 0.0454587
0.369143 0.103705 0.247501 0.0494239
0.812217 0.17557 0.218496 0.0415786
0.985012 0.095896 0.374606 0.0671325
0.133305 0.0353825 0.73737 0.0620704
0.119579 0.855044 0.930647 0.0411232
0.197776 0.308473 0.76305 0.0485573
0.95459 0.403494 0.658451 0.0331779
0.788485 0.141269 0.31171 0.0594924
0.239532 0.237688 0.117904 0.0726177
0.0708465 0.323127 0.502756 0.0412536
0.869565 0.361307 0.880523 0.0476612
0.145355 0.262398 0.695427 0.0486219
0.00847849 0.481972 0.183489 0.0306685
0.659462 0.962266 0.631884 0.0328934
0.942286 0.11123 0.233778 0.05565
0.925502 0.544763 0.334251 0.0603077
0.432605 0.603107 0.515804 0.0564887
0.213727 0.830184 0.564009 0.0436135
0.616075 0.466805 0.807403 0.0256146
0.0321118 0.861629 0.103902 0.0319363
0.292075 0.594921 0.530147 0.0850074
0.627103 0.408309 0.82147 0.0226089
0.448614 0.381698 0.880629 0.0638892
0.333538 0.801825 0.567178 0.079527
0.542213 0.691918 0.403723 0.0592228
0.305107 0.201913 0.712592 0.0412103
0.840846 0.257077 0.208719 0.0453621
0.811412 0.512956 0.564832 0.0431206
0.601459 0.33254 0.98176 0.0539649
